2024-09-25T07:40:46.541Z - Temperature: 31.70, Humidity: 68.80, Heat Index: 39.13
2024-09-25T07:40:51.642Z - Temperature: 31.70, Humidity: 68.80, Heat Index: 39.13
2024-09-25T07:40:56.442Z - Temperature: 31.70, Humidity: 68.80, Heat Index: 39.13
2024-09-25T07:41:01.505Z - Temperature: 31.70, Humidity: 68.80, Heat Index: 39.13
2024-09-25T07:41:06.446Z - Temperature: 31.70, Humidity: 68.80, Heat Index: 39.13
2024-09-25T07:41:11.611Z - Temperature: 31.60, Humidity: 68.80, Heat Index: 38.85
2024-09-25T07:41:16.449Z - Temperature: 31.60, Humidity: 68.80, Heat Index: 38.85
2024-09-25T07:41:21.445Z - Temperature: 31.70, Humidity: 68.80, Heat Index: 39.13
2024-09-25T07:41:26.478Z - Temperature: 31.70, Humidity: 68.80, Heat Index: 39.13
2024-09-25T07:41:31.497Z - Temperature: 31.60, Humidity: 68.80, Heat Index: 38.85
2024-09-25T07:41:36.510Z - Temperature: 31.60, Humidity: 68.80, Heat Index: 38.85
2024-09-25T07:41:41.632Z - Temperature: 31.60, Humidity: 68.80, Heat Index: 38.85
2024-09-25T07:41:46.630Z - Temperature: 31.70, Humidity: 68.80, Heat Index: 39.13
2024-09-25T07:41:51.463Z - Temperature: 31.60, Humidity: 68.80, Heat Index: 38.85
2024-09-25T07:41:56.481Z - Temperature: 31.60, Humidity: 68.80, Heat Index: 38.85
2024-09-25T07:42:01.505Z - Temperature: 31.60, Humidity: 68.80, Heat Index: 38.85
2024-09-25T07:42:06.448Z - Temperature: 31.70, Humidity: 68.80, Heat Index: 39.13
2024-09-25T07:42:11.617Z - Temperature: 31.70, Humidity: 68.80, Heat Index: 39.13
2024-09-25T07:42:34.880Z - Temperature: 31.60, Humidity: 68.80, Heat Index: 38.85
2024-09-25T07:42:39.890Z - Temperature: 31.70, Humidity: 68.80, Heat Index: 39.13
2024-09-25T07:42:44.915Z - Temperature: 31.60, Humidity: 68.80, Heat Index: 38.85
2024-09-25T07:42:49.855Z - Temperature: 31.70, Humidity: 68.80, Heat Index: 39.13
2024-09-25T07:42:55.030Z - Temperature: 31.60, Humidity: 68.80, Heat Index: 38.85
2024-09-25T07:42:59.969Z - Temperature: 31.70, Humidity: 68.80, Heat Index: 39.13
2024-09-25T07:43:04.890Z - Temperature: 31.60, Humidity: 68.80, Heat Index: 38.85
2024-09-25T07:43:09.854Z - Temperature: 31.50, Humidity: 68.80, Heat Index: 38.58
2024-09-25T07:43:14.903Z - Temperature: 31.50, Humidity: 68.80, Heat Index: 38.58
2024-09-25T07:43:20.014Z - Temperature: 31.60, Humidity: 68.80, Heat Index: 38.85
2024-09-25T07:43:24.850Z - Temperature: 31.50, Humidity: 68.80, Heat Index: 38.58
2024-09-25T07:43:30.050Z - Temperature: 31.50, Humidity: 68.80, Heat Index: 38.58
2024-09-25T07:43:34.849Z - Temperature: 31.50, Humidity: 68.80, Heat Index: 38.58
2024-09-25T07:43:39.866Z - Temperature: 31.50, Humidity: 68.80, Heat Index: 38.58
2024-09-25T07:43:44.936Z - Temperature: 31.50, Humidity: 68.80, Heat Index: 38.58
2024-09-25T07:43:49.933Z - Temperature: 31.40, Humidity: 68.80, Heat Index: 38.30
2024-09-25T07:43:54.846Z - Temperature: 31.50, Humidity: 68.80, Heat Index: 38.58
2024-09-25T07:43:59.865Z - Temperature: 31.40, Humidity: 68.80, Heat Index: 38.30
2024-09-25T07:44:04.860Z - Temperature: 31.50, Humidity: 68.80, Heat Index: 38.58
2024-09-25T07:44:09.846Z - Temperature: 31.40, Humidity: 68.80, Heat Index: 38.30
2024-09-25T07:44:14.853Z - Temperature: 31.40, Humidity: 68.80, Heat Index: 38.30
2024-09-25T07:44:19.858Z - Temperature: 31.40, Humidity: 68.80, Heat Index: 38.30
2024-09-25T07:44:24.847Z - Temperature: 31.40, Humidity: 68.80, Heat Index: 38.30
2024-09-25T07:44:29.859Z - Temperature: 31.40, Humidity: 68.80, Heat Index: 38.30
2024-09-25T07:44:34.893Z - Temperature: 31.40, Humidity: 68.80, Heat Index: 38.30
2024-09-25T07:44:39.931Z - Temperature: 31.30, Humidity: 68.80, Heat Index: 38.04
2024-09-25T07:44:44.916Z - Temperature: 31.40, Humidity: 68.80, Heat Index: 38.30
2024-09-25T07:44:49.847Z - Temperature: 31.40, Humidity: 68.80, Heat Index: 38.30
2024-09-25T07:44:54.844Z - Temperature: 31.30, Humidity: 68.80, Heat Index: 38.04
2024-09-25T07:44:59.894Z - Temperature: 31.40, Humidity: 68.80, Heat Index: 38.30
2024-09-25T07:45:04.899Z - Temperature: 31.40, Humidity: 68.80, Heat Index: 38.30
2024-09-25T07:45:09.847Z - Temperature: 31.30, Humidity: 68.80, Heat Index: 38.04
2024-09-25T07:45:14.922Z - Temperature: 31.30, Humidity: 68.80, Heat Index: 38.04
2024-09-25T07:45:20.049Z - Temperature: 31.30, Humidity: 68.80, Heat Index: 38.04
2024-09-25T07:45:25.051Z - Temperature: 31.30, Humidity: 68.80, Heat Index: 38.04
2024-09-25T07:45:29.879Z - Temperature: 31.30, Humidity: 68.80, Heat Index: 38.04
2024-09-25T07:45:34.903Z - Temperature: 31.30, Humidity: 68.80, Heat Index: 38.04
2024-09-25T07:45:39.917Z - Temperature: 31.30, Humidity: 68.80, Heat Index: 38.04
2024-09-25T07:45:44.847Z - Temperature: 31.30, Humidity: 68.80, Heat Index: 38.04
2024-09-25T07:45:49.870Z - Temperature: 31.30, Humidity: 68.80, Heat Index: 38.04
2024-09-25T07:45:54.847Z - Temperature: 31.30, Humidity: 68.80, Heat Index: 38.04
2024-09-25T07:45:59.847Z - Temperature: 31.30, Humidity: 68.80, Heat Index: 38.04
2024-09-25T07:46:04.895Z - Temperature: 31.30, Humidity: 68.80, Heat Index: 38.04
2024-09-25T07:46:10.104Z - Temperature: 31.30, Humidity: 68.80, Heat Index: 38.04
